source,taxonomy,window,code,name,taxonomy_class,measure_class,n_facts,n_filings,resolved_id,tier,confidence,rule,seen_in_train,in_crosswalk,declared_out_of_core,baseline_naive,gold
eurostat_na_item,gfs,holdout,D4,Property income,standard,monetary,8607,30,EXP_DebtService,tier1_exact,1.0,tier1:gfs:D4,True,True,False,,
eurostat_na_item,gfs,holdout,P32,Collective consumption expenditure,standard,monetary,8078,29,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,P31,Individual consumption expenditure,standard,monetary,6968,29,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,D4_S1311,"Property income, of which payable to subsector S1311",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D4_S1312,"Property income, of which payable to subsector S1312",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D4_S1313,"Property income, of which payable to subsector S1313",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D4_S1314,"Property income, of which payable to subsector S1314",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D7_S1311,"Other current transfers,of which payable to subsector S1311",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D7_S1312,"Other current transfers,of which payable to subsector S1312",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D7_S1313,"Other current transfers,of which payable to subsector S1313",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D7_S1314,"Other current transfers,of which payable to subsector S1314",standard,monetary,324,2,liability.current.payables,tier2_keyword,0.85,tier2:liability.current.payables:payable,True,False,False,,
eurostat_na_item,gfs,holdout,D9_S1311,"Capital transfers, expenditure, of which to subsector central government (S1311)",standard,monetary,324,2,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,False,,
eurostat_na_item,gfs,holdout,D9_S1312,"Capital transfers, expenditure, of which to subsector state government (S1312)",standard,monetary,324,2,equity.capital,tier2_keyword,0.85,tier2:equity.capital:capital,True,False,False,,
